year,exchange_rate
1981,1.709
1982,1.8973
1983,1.9809
1984,2.3346
1985,2.9446
1986,3.461
1987,3.7314
1988,3.7314
1989,3.769
1990,4.7955
1991,5.3348
1992,5.5266
1993,5.7767
1994,8.6401
1995,8.3709
1996,8.3387
1997,8.3193
1998,8.3006
1999,8.2783
2000,8.2784
2001,8.277
2002,8.2771
2003,8.2772
2004,8.2768
2005,8.194
2006,7.972
2007,7.6059
2008,6.9482
2009,6.8307
2010,6.769
2011,6.4633
2012,6.3085
2013,6.148
2014,6.1607
2015,6.283
2016,6.6417
2017,6.7564
2018,6.6123
2019,6.907
2020,6.8999
2021,6.4499
2022,6.7306
2023,7.0797
2024,7.1958
2025,7.2409
