year,ratio
1963.0,6.278244234243809
1964.0,8.295488847895355
1965.0,7.888197775552158
1966.0,6.4866568325063705
1967.0,5.417626064932074
1968.0,6.863870400602788
1969.0,6.420512820512821
1970.0,4.769778320113891
1971.0,5.299521585602005
1972.0,4.438915094339623
1973.0,2.3427585893886445
1974.0,3.1929584530487527
1975.0,5.449714147676946
1976.0,8.046705587989992
1977.0,7.5294870882834175
1978.0,6.70087944502103
1979.0,10.240005640555596
1980.0,9.09884861965197
1981.0,8.043784255107125
1982.0,3.387707186181066
1983.0,2.11204076497232
1984.0,1.4953637194723781
1985.0,2.131343663495498
1986.0,3.152167414050822
1987.0,5.3131809251652085
1988.0,5.572527120428434
1989.0,11.29816815406294
1990.0,8.656437920056597
1991.0,4.902556681138447
1992.0,2.3018999197217016
1993.0,2.3423930021868165
1994.0,8.221626680279055
1995.0,10.354989200863931
1996.0,19.206680957484817
1997.0,17.04342313787639
1998.0,16.97740600206968
1999.0,16.78426005132592
2000.0,12.223013698630139
2001.0,1.739688222570299
2002.0,1.3023110164714724
2003.0,1.5457301341589267
2004.0,1.949376331000913
2005.0,2.0612946454582532
2006.0,2.85731050669612
2007.0,6.344039595619209
2008.0,3.1577377892030847
2009.0,2.238767614583039
2010.0,2.4643364317066876
2011.0,2.8413384506464956
2012.0,2.947274282603624
2013.0,2.0614656315091837
2014.0,22.338820826952528
2015.0,25.73426838514026
2016.0,7.989382879893829
2017.0,6.73818357799645
2018.0,4.728287026908773
2019.0,5.106168511011286
2020.0,2.0295136026380876
2021.0,1.8392076274223996
2022.0,1.8578937329122776
2023.0,1.9023396898797276
2024.0,1.9400280444396505
