year,volatility
1796,4.3515425783210535
1797,4.765915969279794
1798,4.752134859987968
1799,3.9287139971735763
1800,6.702792319379772
1801,6.408752615867278
1802,6.310928389733015
1803,6.256623548355723
1804,5.095206985324957
1805,3.0496643241333925
1806,2.7371144227947855
1807,2.4302018093145503
1808,3.3323343867323962
1809,3.424781967438853
1810,3.9512786698086795
1811,6.0311743662767645
1812,5.9182697104539885
1813,5.50933252525389
1814,9.541721015102025
1815,11.487667887949367
1816,8.235489855826364
1817,10.784034844064665
1818,11.317499962368107
1819,10.211852016571491
1820,6.680751901805078
1821,6.712530171586496
1822,3.4044012598096467
1823,3.841339038344433
1824,3.7894564436191134
1825,3.9113597685423427
1826,2.710355661530585
1827,2.2024335459783404
1828,1.1199228121537272
1829,1.2612442841487996
1830,1.5435739740941463
1831,1.6274667866193273
1832,1.5973129860315995
1833,1.6696428545902084
1834,2.0264872405785033
1835,2.9972265274436136
1836,2.8573898036427963
1837,3.9115107028768397
1838,4.476494106694714
1839,3.9964317939237413
1840,3.6205809251297127
1841,3.5882365000876923
1842,2.6513826064173016
1843,2.082715342714793
1844,1.9856334854336875
1845,1.9659611945374007
1846,1.9681587533625822
1847,0.9559830071808972
1848,1.2081854505704865
1849,1.182056003932245
1850,1.3513445564011564
1851,1.2465028218380159
1852,1.1745698868218963
1853,0.9740205739518828
1854,0.6948559321445306
1855,0.44924413919452844
1856,0.2890584496068843
1857,0.3355959941469675
1858,0.42385831416095116
1859,0.5904106278983112
1860,0.7578348346963779
1861,0.9133755899364846
1862,7.735309561947268
1863,12.899920466728181
1864,18.378555551647004
1865,24.973830702363756
1866,26.463196381404845
1867,26.651836141662297
1868,24.040839278655742
1869,9.451826884541811
1870,6.116792704026708
1871,5.68894677997345
1872,5.89264475230874
1873,6.087989145040309
1874,6.075885435496683
1875,2.497625369239349
1876,2.6798299355026214
1877,3.859025155389106
1878,3.4587089143692777
1879,3.537089019978161
1880,2.4884379414213713
1881,2.6877318685483176
1882,1.7379548809678496
1883,0.6248021300146848
1884,0.5060991589577278
1885,0.5143282263232951
1886,0.4525542810593081
1887,0.2344380239896845
1888,0.23495752483272372
1889,0.23495752483272372
1890,0.2522654232642539
1891,0.2522654232642539
1892,0.23477221941670698
1893,0.1719503085299858
1894,0.268085534516533
1895,0.23438216073572737
1896,0.33707631242119274
1897,0.3371530709457415
1898,0.3372047163737705
1899,0.27514980660879296
1900,0.23394221846279753
1901,0.20576188312116903
1902,0.17225375865096915
1903,0.17210233492209084
1904,0.17200080786460467
1905,0.20555008466568833
1906,0.18389689423552955
1907,0.22536225298875054
1908,0.22536209407567814
1909,0.20576188312116905
1910,0.20576188312116905
1911,0.17210233492209087
1912,0.1720008078646047
1913,0.14534588944571494
1914,0.5697844890792949
1915,1.7778105754228832
1916,1.7921145366957316
1917,1.76880191815189
1918,1.76880191815189
1919,3.1020407960275795
1920,7.616351237851218
1921,8.695147510890418
1922,12.255482038303217
1923,12.404189211608868
1924,12.022429881734132
1925,6.900213581199748
1926,7.3058418406978065
1927,4.767911176573546
1928,4.741831629887763
1929,4.090307683659062
1930,0.31345925082380643
1931,2.948248391834716
1932,9.833466807660383
1933,15.617183029764782
1934,18.200277909247724
1935,18.321587385573334
1936,17.77748806307996
1937,11.338139996883248
1938,8.896115328247886
1939,4.068831631534849
1940,6.516963299310463
1941,7.538680463035636
1942,7.639804541401279
1943,7.741450624951894
1944,7.113524391816382
1945,2.3418165195281673
1946,0.17524366609482558
1947,0.11069643453074826
1948,0.11069643453074826
1949,3.7468771215937537
1950,10.499261114559147
1951,10.499261114559147
1952,10.444964389263552
1953,10.562169157911525
1954,10.833698397907932
1955,0.5299084101586049
1956,0.5649020020147644
1957,0.5649020020147644
1958,0.5649020020147644
1959,0.5649020020147644
1960,0.40827229202988025
1961,0.43819541794226924
1962,0.4077148117656343
1963,0.2981997054298983
1964,0.31901246057750093
1965,0.3911174761178435
1966,0.39134952225803893
1967,0.6413101809431999
1968,5.690459173015141
1969,5.733629341263794
1970,5.742220535984043
1971,6.0297567417768185
1972,6.437427562325136
1973,1.710637631252841
1974,2.846081598563939
1975,3.466061484757578
1976,8.011792497767471
1977,6.893013631423644
1978,10.36629184862817
1979,12.268815750354827
1980,12.927867162741078
1981,10.751838118238682
1982,12.904701742416067
1983,12.836022590977105
1984,10.224337487781018
1985,4.4840141679253716
1986,11.311790133616672
1987,12.49411404495625
1988,10.716977185958424
1989,9.336546205254628
1990,8.414207056919366
1991,8.06176331736585
1992,6.94571274315856
1993,8.97036294759343
1994,8.722186421591097
1995,7.507241606130896
1996,7.4774966874680775
1997,8.181867445910703
1998,2.3792700099391033
1999,3.1151544957178907
2000,4.208547661776006
